order,Term,Probability
1,abaqulusi,0.0006708227219740439
2,ability,0.0006450075958602298
3,absolute,0.0017947898492281544
4,accelerated,0.0017152429900097325
5,accelerates,0.0015367344718476808
6,acceptable,0.0010338294913739097
7,acceptance,0.0008803055675865249
8,access,0.0018043628588754396
9,account,0.0003916210832401651
10,achieve,0.0003916210832401651
11,acid,0.0015697163441690386
12,acquired,0.0010338294913739097
13,activated,0.0006450075958602298
14,activation,0.0006450075958602298
15,active,0.003341966156754817
16,activity,0.0020245101495614246
17,addition,0.0006073027025512586
18,additionally,0.0005879138884484412
19,address,0.0003916210832401651
20,addressing,0.0011843377750812018
21,adherence,0.0043078319156418165
22,adjusting,0.0007832421664803302
23,administrated,0.0009614242347857489
24,advance,0.0008803055675865249
25,advanced,0.0005879138884484412
26,adverse,0.0018043628588754396
27,afford,0.0017947898492281544
28,aging,0.0022815269110330236
29,aid,0.0024592039420932932
30,aim,0.002149337377624102
31,aimed,0.0007848581720845193
32,allow,0.0006073027025512586
33,alone,0.0008803055675865249
34,already,0.0006708227219740439
35,also,0.0010338294913739097
36,alteration,0.0005879138884484412
37,altered,0.0006450075958602298
38,america,0.0011843377750812018
39,amino,0.0015697163441690386
40,among,0.002804414268571099
41,amplified,0.0012237307179913956
42,analysis,0.0005879138884484412
43,analytes,0.0009614242347857489
44,analyzed,0.0014637044150906753
45,antigen,0.0007848581720845193
46,antiretroviral,0.003542783207595312
47,apart,0.0003916210832401651
48,appeared,0.0003916210832401651
49,applied,0.0009614242347857489
50,apulia,0.0011052007895344727
51,area,0.002150815292016829
52,art,0.0012146054051025172
53,ass,0.00465684311584425
54,assessment,0.0012781452936751138
55,assistant,0.0020676589827478193
56,associated,0.0020112215004036097
57,association,0.0012529928738229314
58,atlanta,0.0003916210832401651
59,attendant,0.0006708227219740439
60,attitude,0.0013416454439480877
61,audio,0.0011180429948914865
62,backbone,0.0005879138884484412
63,basal,0.0005879138884484412
64,belief,0.0013416454439480877
65,beneficial,0.0006708227219740439
66,birth,0.0006708227219740439
67,blood,0.0027846715053029586
68,bronchoalveolar,0.0006450075958602298
69,calibration,0.0009614242347857489
70,came,0.0003916210832401651
71,care,0.0063265094883746455
72,cart,0.003430485980019465
73,case,0.0035452611792199103
74,catchment,0.0006708227219740439
75,cause,0.0016613907575539326
76,cell,0.007599466444624693
77,central,0.0011843377750812018
78,chain,0.0007848581720845193
79,challenge,0.0013076304396084366
80,change,0.0018073726821183757
81,changed,0.0015648593363654724
82,characteristic,0.0030443005011454704
83,choice,0.0006073027025512586
